体育,0,http:////sports.sina.com.cn/
财经,1,http:////finance.sina.com.cn/
娱乐,2,http:////ent.sina.com.cn/
科技,3,http:////tech.sina.com.cn/
博客,4,http:////blog.sina.com.cn/
图片,5,http:////photo.sina.com.cn/
专栏,6,http:////zhuanlan.sina.com.cn/
...,7,http://javascript:;
//auto.sina.com.cn/,8,http:////auto.sina.com.cn/
//edu.sina.com.cn/,9,http:////edu.sina.com.cn/
//fashion.sina.com.cn/,10,http:////fashion.sina.com.cn/
//eladies.sina.com.cn/,11,http:////eladies.sina.com.cn/
//astro.sina.com.cn/,12,http:////astro.sina.com.cn/
//health.sina.com.cn/,13,http:////health.sina.com.cn/
//www.leju.com/#source=pc_sina_dbdh2&source_ext=pc_sina,14,http:////www.leju.com/#source=pc_sina_dbdh2&source_ext=pc_sina
//history.sina.com.cn/,15,http:////history.sina.com.cn/
//video.sina.com.cn/,16,http:////video.sina.com.cn/
//collection.sina.com.cn/,17,http:////collection.sina.com.cn/
//baby.sina.com.cn/,18,http:////baby.sina.com.cn/
//book.sina.com.cn/,19,http:////book.sina.com.cn/
//fo.sina.com.cn/,20,http:////fo.sina.com.cn/
//games.sina.com.cn/,21,http:////games.sina.com.cn/
//travel.sina.com.cn/,22,http:////travel.sina.com.cn/
//mail.sina.com.cn/,23,http:////mail.sina.com.cn/
//news.sina.com.cn/guide/,24,http:////news.sina.com.cn/guide/
